Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20230918,-0.04,-0.81,-0.19,0.021,0.0169,-0.0035,0.0059,-0.0029,0.0015,-0.0041,-0.0245,-0.0151,-0.0239,-0.0195
20230915,-1.21,0.15,0.25,0.021,-0.0042,-0.025,-0.0051,-0.0299,-0.0369,-0.0252,-0.046,-0.0261,-0.0509,-0.0579
20230914,0.84,0.22,0.86,0.021,0.0088,0.0079,0.0102,-0.0009,0.0021,-0.0122,-0.0131,-0.0108,-0.0219,-0.0189
20230913,0.03,-0.79,-0.22,0.021,-0.0119,0.0129,0.0101,0.0256,0.0137,-0.0329,-0.0081,-0.0109,0.0046,-0.0073
20230912,-0.59,-0.25,1.02,0.021,-0.0171,-0.0183,-0.0115,-0.0131,-0.0068,-0.0381,-0.0393,-0.0325,-0.0341,-0.0278
20230911,0.66,-0.26,-0.53,0.021,0.0066,0.011,0.004,0.0352,-0.0086,-0.0144,-0.01,-0.017,0.0142,-0.0296
20230908,0.12,-0.62,0.39,0.021,0.0035,0.0132,0.0083,0.0028,-0.0145,-0.0175,-0.0078,-0.0127,-0.0182,-0.0355
20230907,-0.4,-0.63,0.03,0.021,-0.0292,-0.0089,0.0059,0.0184,-0.0174,-0.0502,-0.0299,-0.0151,-0.0026,-0.0384
20230906,-0.71,0,-0.18,0.021,-0.0358,-0.002,-0.0096,-0.0139,-0.0306,-0.0568,-0.023,-0.0306,-0.0349,-0.0516
20230905,-0.54,-1.37,-0.85,0.021,0.0013,0.0149,0.0008,-0.0062,0.0008,-0.0197,-0.0061,-0.0202,-0.0272,-0.0202
20230901,0.26,0.66,0.59,0.021,0.0085,0.0027,-0.0037,0.0008,-0.0171,-0.0125,-0.0183,-0.0247,-0.0202,-0.0381
20230831,-0.08,-0.21,0.21,0.02,0.0012,-0.0031,0.0021,0.0218,0.0018,-0.0188,-0.0231,-0.0179,0.0018,-0.0182
20230830,0.41,0.24,-0.45,0.02,0.0192,0.0012,0.0097,0.0012,0.0098,-0.0008,-0.0188,-0.0103,-0.0188,-0.0102
20230829,1.5,0.01,-0.11,0.02,0.0218,0.0146,0.0272,0.0133,0.0416,0.0018,-0.0054,0.0072,-0.0067,0.0216
20230828,0.63,-0.01,0.41,0.02,0.0088,0.0022,0.0087,-0.0009,0.0178,-0.0112,-0.0178,-0.0113,-0.0209,-0.0022
20230825,0.65,-0.07,-0.58,0.02,0.0126,0.0094,0.0008,0.0108,-0.0243,-0.0074,-0.0106,-0.0192,-0.0092,-0.0443
20230824,-1.43,-0.2,0.62,0.02,-0.0262,-0.0215,-0.0196,-0.0272,0.001,-0.0462,-0.0415,-0.0396,-0.0472,-0.019
20230823,1.08,-0.1,-0.11,0.02,0.0219,0.0141,0.0255,0.0095,0.0317,0.0019,-0.0059,0.0055,-0.0105,0.0117
20230822,-0.32,0.23,-1.05,0.02,0.0079,0.0018,0.0055,-0.0032,-0.0277,-0.0121,-0.0182,-0.0145,-0.0232,-0.0477
20230821,0.64,-0.69,-0.58,0.02,0.0077,0.0171,0.0071,0.011,0.0847,-0.0123,-0.0029,-0.0129,-0.009,0.0647
20230818,0.04,0.41,-0.22,0.02,0.0028,-0.0013,-0.0189,-0.0057,-0.001,-0.0172,-0.0213,-0.0389,-0.0257,-0.021
20230817,-0.87,-0.33,0.5,0.02,-0.0146,-0.011,0.0095,-0.0081,-0.0033,-0.0346,-0.031,-0.0105,-0.0281,-0.0233
20230816,-0.81,-0.41,-0.14,0.02,-0.005,-0.0045,-0.0083,-0.0189,-0.0103,-0.025,-0.0245,-0.0283,-0.0389,-0.0303
20230815,-1.18,0.24,-1.04,0.02,-0.0112,-0.0067,-0.0118,-0.0206,0.0043,-0.0312,-0.0267,-0.0318,-0.0406,-0.0157
20230814,0.51,-0.65,-0.79,0.02,0.0094,0.0094,0.0137,0.0156,0.0709,-0.0106,-0.0106,-0.0063,-0.0044,0.0509
20230811,-0.11,0.13,0.47,0.02,-0.001,-0.0059,-0.001,-0.0011,-0.0362,-0.021,-0.0259,-0.021,-0.0211,-0.0562
20230810,0.01,-0.32,-0.67,0.02,-0.0012,0.0022,0.0002,0.0052,-0.0039,-0.0212,-0.0178,-0.0198,-0.0148,-0.0239
20230809,-0.78,-0.08,-0.04,0.02,-0.009,-0.0117,-0.0132,-0.0149,-0.0472,-0.029,-0.0317,-0.0332,-0.0349,-0.0672
20230808,-0.47,0.05,0.12,0.02,0.0053,-0.0123,-0.001,-0.016,-0.0166,-0.0147,-0.0323,-0.021,-0.036,-0.0366
20230807,0.77,-1.15,0.57,0.02,-0.0173,0.0071,0.0267,0.019,0.0165,-0.0373,-0.0129,0.0067,-0.001,-0.0035
20230804,-0.49,0.04,0.77,0.02,-0.048,0.0034,-0.0026,0.0827,0.0037,-0.068,-0.0166,-0.0226,0.0627,-0.0163
20230803,-0.2,-0.05,0.08,0.02,-0.0073,-0.0026,0.0005,0.0055,0.0056,-0.0273,-0.0226,-0.0195,-0.0145,-0.0144
20230802,-1.49,-0.18,0.59,0.02,-0.0155,-0.0263,-0.0241,-0.0264,-0.0481,-0.0355,-0.0463,-0.0441,-0.0464,-0.0681
20230801,-0.35,-0.16,0.31,0.02,-0.0043,0.0013,-0.0088,-0.0149,-0.0048,-0.0243,-0.0187,-0.0288,-0.0349,-0.0248
20230731,0.26,1.08,-0.09,0.022,0.0032,-0.0072,0.0011,0.0111,-0.0004,-0.0188,-0.0292,-0.0209,-0.0109,-0.0224
20230728,1.14,0.54,-0.32,0.022,0.0135,0.0231,0.0246,0.0309,0.0185,-0.0085,0.0011,0.0026,0.0089,-0.0035
20230727,-0.75,-0.91,0.26,0.022,-0.0066,-0.0209,0.001,0.0008,0.0099,-0.0286,-0.0429,-0.021,-0.0212,-0.0121
20230726,0.02,0.68,1.02,0.022,0.0045,-0.0376,0.0578,-0.0076,-0.005,-0.0175,-0.0596,0.0358,-0.0296,-0.027
20230725,0.25,-0.04,-0.79,0.022,0.0045,0.017,0.0056,0.0026,0.0239,-0.0175,-0.005,-0.0164,-0.0194,0.0019
20230724,0.31,-0.27,0.78,0.022,0.0042,0.0039,0.0126,-0.0092,0.0068,-0.0178,-0.0181,-0.0094,-0.0312,-0.0152
20230721,-0.05,-0.33,-0.37,0.022,-0.0062,-0.0089,0.0069,0.0003,-0.0266,-0.0282,-0.0309,-0.0151,-0.0217,-0.0486
20230720,-0.81,-0.58,0.65,0.022,-0.0101,-0.0231,-0.0232,-0.0399,-0.0331,-0.0321,-0.0451,-0.0452,-0.0619,-0.0551
20230719,0.25,-0.07,1.32,0.022,0.0071,-0.0123,-0.014,0.019,-0.0088,-0.0149,-0.0343,-0.036,-0.003,-0.0308
20230718,0.78,0.22,1.09,0.022,-0.0013,0.0398,-0.0071,-0.0055,0.0222,-0.0233,0.0178,-0.0291,-0.0275,0.0002
20230717,0.49,0.76,-0.27,0.022,0.0173,0.0014,-0.0061,-0.0083,0.0218,-0.0047,-0.0206,-0.0281,-0.0303,-0.0002
20230714,-0.25,-0.3,-1.51,0.022,0.0008,0.0075,0.0071,0.0028,-0.011,-0.0212,-0.0145,-0.0149,-0.0192,-0.033
20230713,0.9,0.05,-0.1,0.022,0.0041,0.0162,0.0472,0.0268,0.0473,-0.0179,-0.0058,0.0252,0.0048,0.0253
20230712,0.74,0.3,0.43,0.022,0.009,0.0142,0.0153,0.0157,0.0353,-0.013,-0.0078,-0.0067,-0.0063,0.0133
20230711,0.75,0.04,0.49,0.022,-0.0028,0.0019,0.0059,0.013,0.0053,-0.0248,-0.0201,-0.0161,-0.009,-0.0167
20230710,0.37,1.29,-0.01,0.022,-0.0109,-0.016,-0.0254,-0.0204,-0.0076,-0.0329,-0.038,-0.0474,-0.0424,-0.0296
20230707,-0.12,1.06,1.25,0.022,-0.0059,-0.0119,-0.0052,0.0111,0.0095,-0.0279,-0.0339,-0.0272,-0.0109,-0.0125
20230706,-0.95,-0.51,-0.68,0.022,0.0025,0.0092,-0.0135,-0.0155,-0.0051,-0.0195,-0.0128,-0.0355,-0.0375,-0.0271
20230705,-0.29,-0.95,-0.26,0.022,-0.0059,0.0005,0.0154,0.0012,-0.0023,-0.0279,-0.0215,-0.0066,-0.0208,-0.0243
20230703,0.15,0,1.08,0.022,-0.0078,-0.0075,0.0017,-0.0011,0.0026,-0.0298,-0.0295,-0.0203,-0.0231,-0.0194
20230630,1.14,-0.63,-0.77,0.019,0.0231,0.0164,0.005,0.0192,0.0363,0.0041,-0.0026,-0.014,0.0002,0.0173
